Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Elements,GOLD_THRESHOLD,difference_threshold,normalization_vector,Accuracy,Loss,Weighted accuracy,Weighted f1,Weighted precision,Weighted recall,fn,fp,tn,tp
2024-08-07 11:58:53,68ms,e3099526918c425abd344620271b18f0,redolent-stoat-594,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,1.1,1.5,[ 1.5    3.5   -0.5    0.5    3.    22.5    0.25   0.35   0.5    0.125],0.9849,17.09391107160806,0.9621,0.4236,0.3107,0.6653,7,19,1689,8
2024-08-07 11:58:49,67ms,6ff0cbaa21d041a1b25d1ffe5ce167c9,orderly-moth-247,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,1.0,0.5,[ 3.5    5.5    1.5    2.5    7.    32.5    1.25   0.55   0.9    0.225],0.9907,16.61628070661004,0.9854,0.4093,0.67,0.2947,14,2,1703,4
2024-08-07 11:58:53,87ms,171f3158876546f6b9676acdcfac6ee7,brawny-mole-784,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,1.0,1.5,[ 1.5    3.5   -0.5    0.5    3.    22.5    0.25   0.35   0.5    0.125],0.9832,18.54946037359094,0.9584,0.4015,0.3107,0.5671,10,19,1686,8
2024-08-07 11:58:44,68ms,845e277d9f75412cbf057ef31199a3aa,blushing-ray-98,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,1.1,0.5,[ 3.   5.   1.   2.   6.  30.   1.   0.5  0.8  0.2],0.9925,12.144521956488779,0.9875,0.3963,0.7554,0.2686,12,1,1707,3
2024-08-07 11:58:53,76ms,51d760dfe5904bcab0d484f56948bbe0,entertaining-kit-990,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,0.9,1.5,[ 1.5    3.5   -0.5    0.5    3.    22.5    0.25   0.35   0.5    0.125],0.982,19.5106017297811,0.956,0.3879,0.3107,0.516,12,19,1684,8
2024-08-07 11:58:49,60ms,f57aa9c72a7f49929e8a0d01a9ae4a0c,burly-bat-110,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,0.9,0.5,[ 3.5    5.5    1.5    2.5    7.    32.5    1.25   0.55   0.9    0.225],0.9896,18.21531225185687,0.9837,0.3835,0.67,0.2686,16,2,1701,4
2024-08-07 11:58:53,70ms,5766b1ad6401467f9afc343d09507873,lyrical-squirrel-449,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,0.8,1.5,[ 1.5    3.5   -0.5    0.5    3.    22.5    0.25   0.35   0.5    0.125],0.9808,20.212161773497392,0.9542,0.3782,0.3107,0.4831,14,19,1682,8
2024-08-07 11:58:54,89ms,c00abc394e174f9ca57f5e97e6a9994b,abrasive-skink-810,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,1.0,0.5,[ 4.    6.    2.    3.    8.   35.    1.5   0.6   1.    0.25],0.9878,26.728766676837296,0.9804,0.3772,0.3957,0.3604,13,8,1697,5
2024-08-07 11:58:46,52ms,c1192007057545dc938b48d76a97eab0,sedate-rook-734,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,1.0,0.5,[ 4.    6.    2.    3.    8.   35.    1.5   0.6   1.    0.25],0.9878,26.728766676837296,0.9804,0.3772,0.3957,0.3604,13,8,1697,5
2024-08-07 11:58:51,66ms,9bbe6b3c09324f59a3bb6dfea97c703b,serious-calf-612,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,1.0,1.0,[ 2.5    4.5    0.5    1.5    5.    27.5    0.75   0.45   0.7    0.175],0.9814,30.475555426504954,0.962,0.3751,0.2817,0.5611,10,22,1683,8
2024-08-07 11:58:49,59ms,2c06ad90f3f848cdb1d322bf620458d4,kindly-horse-44,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,0.8,0.5,[ 3.5    5.5    1.5    2.5    7.    32.5    1.25   0.55   0.9    0.225],0.9884,19.339194720941656,0.9825,0.3661,0.67,0.2518,18,2,1699,4
2024-08-07 11:58:53,64ms,6b67564d6db242d9a6dc30b078000a4e,bald-steed-601,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,1.1,1.0,[ 1.5    3.5   -0.5    0.5    3.    22.5    0.25   0.35   0.5    0.125],0.9913,9.221883957662415,0.9794,0.3648,0.5162,0.2821,12,3,1705,3
