Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Elements,GOLD_THRESHOLD,difference_threshold,normalization_vector,Accuracy,Loss,Weighted accuracy,Weighted f1,Weighted precision,Weighted recall,fn,fp,tn,tp
2024-08-07 11:36:36,71ms,0ebfeb360e254344a93b12ac9e8be109,fearless-foal-111,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.1,2.5,[ 3.5   5.5   1.5   2.5   7.   32.5   1.5   0.55],0.1904,869.1526767715986,0.1227,0.0308,0.0157,1,0,1395,313,15
2024-08-07 11:36:36,64ms,025e35a75e384aeb960ecfe99e48895b,delightful-fly-840,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.0,2.5,[ 3.5   5.5   1.5   2.5   7.   32.5   1.5   0.55],0.1921,865.7787849786514,0.1252,0.0364,0.0185,1,0,1392,313,18
2024-08-07 11:36:36,74ms,750129746d624b559f530eacfbe262ac,auspicious-rat-312,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,0.9,2.5,[ 3.5   5.5   1.5   2.5   7.   32.5   1.5   0.55],0.1933,863.7538652521373,0.1269,0.04,0.0204,1,0,1390,313,20
2024-08-07 11:36:36,76ms,3ba726c944ae4ee0ba8f10f496aaa262,useful-crow-388,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.1,2.0,[ 3.5   5.5   1.5   2.5   7.   32.5   1.5   0.55],0.3569,743.2515875309241,0.2684,0.0368,0.0187,1,0,1108,600,15
2024-08-07 11:36:36,70ms,33c479f9cb684b7a8cd49776499d6834,luminous-bass-518,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.0,2.0,[ 3.5   5.5   1.5   2.5   7.   32.5   1.5   0.55],0.3587,739.8776957379769,0.2709,0.0433,0.0221,1,0,1105,600,18
2024-08-07 11:36:36,68ms,91bc414995fb49edb607429e35eac007,beautiful-toad-513,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,0.9,2.0,[ 3.5   5.5   1.5   2.5   7.   32.5   1.5   0.55],0.3598,737.8527760114627,0.2726,0.0477,0.0244,1,0,1103,600,20
2024-08-07 11:36:33,66ms,1c430e3fef0240df80a26f21b94b7d64,nimble-robin-801,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.1,2.5,[ 4.5  6.5  2.5  3.5  9.  37.5  2.5  0.6],0.1242,1156.4366532318027,0.0739,0.0267,0.0135,1,0,1509,199,15
2024-08-07 11:36:33,64ms,42049e02b30d4c678d279fbefd2ea290,nervous-slug-912,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.0,2.5,[ 4.5  6.5  2.5  3.5  9.  37.5  2.5  0.6],0.1259,1152.4437301849914,0.0762,0.0316,0.0161,1,0,1506,199,18
2024-08-07 11:36:33,60ms,f995ddf7402046f685964a455b3b8f77,suave-finch-408,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,0.9,2.5,[ 4.5  6.5  2.5  3.5  9.  37.5  2.5  0.6],0.1271,1150.18601167557,0.0778,0.0348,0.0177,1,0,1504,199,20
2024-08-07 11:36:33,65ms,c9cdd7ce5fba4c93ae1b6cd7744304a0,wise-shrew-82,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.1,2.0,[ 4.5  6.5  2.5  3.5  9.  37.5  2.5  0.6],0.1793,1115.280581620137,0.1149,0.0279,0.0142,1,0,1414,294,15
2024-08-07 11:36:33,63ms,c0b7883b3b9144fb917ec5a45ea8a9f5,adaptable-worm-100,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.0,2.0,[ 4.5  6.5  2.5  3.5  9.  37.5  2.5  0.6],0.1811,1111.2876585733256,0.1172,0.033,0.0168,1,0,1411,294,18
2024-08-07 11:36:33,62ms,c5fb77621f4d49d28f2709a18f4ca927,magnificent-toad-625,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,0.9,2.0,[ 4.5  6.5  2.5  3.5  9.  37.5  2.5  0.6],0.1822,1109.0299400639042,0.1187,0.0363,0.0185,1,0,1409,294,20
2024-08-07 11:36:32,68ms,5fcf4703220c45db8bf89d800e11ce0a,secretive-bass-875,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.1,2.5,[ 3.    5.    1.    2.    6.5  32.5   1.    0.55],0.3384,650.9921564703635,0.2454,0.0385,0.0196,1,0,1140,568,15
2024-08-07 11:36:32,81ms,1bd3c1757ce54b4ea3bcc52b221f5080,bustling-zebra-44,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.0,2.5,[ 3.    5.    1.    2.    6.5  32.5   1.    0.55],0.3401,647.8887219361836,0.2482,0.0454,0.0232,1,0,1137,568,18
2024-08-07 11:36:32,77ms,17f101d0802a4ff4ba95d7811cae1bc3,trusting-toad-54,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,0.9,2.5,[ 3.    5.    1.    2.    6.5  32.5   1.    0.55],0.3413,645.9131840752443,0.25,0.0501,0.0257,1,0,1135,568,20
2024-08-07 11:36:30,58ms,957e3cdd7f2445d381ade7cf6cc2372e,amazing-croc-936,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.1,2.5,[ 5.   7.   3.   4.  10.  40.   3.   0.7],0.1027,1298.7565428705125,0.0598,0.0258,0.0131,1,0,1546,162,15
2024-08-07 11:36:30,63ms,61426fc1288f4f58867d362a49eda974,debonair-calf-555,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.0,2.5,[ 5.   7.   3.   4.  10.  40.   3.   0.7],0.1045,1294.3960972096982,0.0621,0.0305,0.0155,1,0,1543,162,18
2024-08-07 11:36:30,72ms,c9171ec947a54299becf1b7d600c5887,amazing-roo-361,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,0.9,2.5,[ 5.   7.   3.   4.  10.  40.   3.   0.7],0.1056,1291.8884232177018,0.0636,0.0336,0.0171,1,0,1541,162,20
2024-08-07 11:36:30,65ms,b9714af21e604a6490946cd883a1a5a0,clumsy-ape-413,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI,1.1,2.0,[ 5.   7.   3.   4.  10.  40.   3.   0.7],0.1538,1260.9789842400655,0.0953,0.0268,0.0136,1,0,1458,250,15
