Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Elements,GOLD_THRESHOLD,difference_threshold,normalization_vector,Accuracy,Loss,Weighted accuracy,Weighted f1,Weighted precision,Weighted recall,fn,fp,tn,tp
2024-07-23 16:21:16,87ms,ba2bfe257a8140459e47249709e09f1b,capricious-seal-396,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,3.0,2.5,[ 5.5   5.5   3.5   3.    9.5  22.5   4.    0.55  1.    0.55],0.9482,73.06221755605321,0.9148,0.2151,0.1585,0.3347,77,99,3203,18
2024-07-23 16:21:15,0.9s,9a3c416cdc364de7997b8d009fd69c10,entertaining-mole-89,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.5,2.5,[ 5.5   5.5   3.5   3.    9.5  22.5   4.    0.55  1.    0.55],0.9429,76.30959894427252,0.91,0.2159,0.1682,0.3013,96,98,3184,19
2024-07-23 16:21:15,92ms,9d70dd34df0f42dcbb008586ac2fba6d,victorious-koi-512,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.0,2.5,[ 5.5   5.5   3.5   3.    9.5  22.5   4.    0.55  1.    0.55],0.9364,78.73435647968682,0.9055,0.2426,0.2053,0.2963,122,94,3158,23
2024-07-23 16:21:15,86ms,59440b6be4e14a869b5fb634812ff30f,merciful-shrew-914,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,3.0,2.0,[ 5.5   5.5   3.5   3.    9.5  22.5   4.    0.55  1.    0.55],0.9588,57.87103971458759,0.9334,0.2043,0.1752,0.2449,83,57,3245,12
2024-07-23 16:21:15,87ms,609db1a1ecee46ba8802e7449104a8be,bedecked-shoat-844,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.5,2.0,[ 5.5   5.5   3.5   3.    9.5  22.5   4.    0.55  1.    0.55],0.9535,61.11842110280689,0.9286,0.206,0.1899,0.2251,102,56,3226,13
2024-07-23 16:21:15,85ms,64bfb1f2a6d24ad895a12e12bcc097c7,gifted-horse-758,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.0,2.0,[ 5.5   5.5   3.5   3.    9.5  22.5   4.    0.55  1.    0.55],0.9464,64.3944576879505,0.9231,0.2299,0.2353,0.2247,129,53,3199,16
2024-07-23 16:21:15,100ms,82b5fea2bf64471d8afae00f6b3461ec,angry-smelt-412,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,3.0,1.5,[ 5.5   5.5   3.5   3.    9.5  22.5   4.    0.55  1.    0.55],0.9656,45.314105676239514,0.9477,0.189,0.2059,0.1747,87,30,3272,8
2024-07-23 16:21:14,96ms,13bfd83dbfcf4291babe46065942dbc6,wise-duck-497,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.5,1.5,[ 5.5   5.5   3.5   3.    9.5  22.5   4.    0.55  1.    0.55],0.9603,48.56148706445882,0.9429,0.1926,0.2301,0.1656,106,29,3253,9
2024-07-23 16:21:14,88ms,fc49ad61d62043aea86013c3ec20edb5,valuable-stag-29,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.0,1.5,[ 5.5   5.5   3.5   3.    9.5  22.5   4.    0.55  1.    0.55],0.9526,52.98162258813353,0.9361,0.2079,0.2833,0.1642,134,27,3225,11
2024-07-23 16:21:14,83ms,ad8e3c5576824b868ba4a07e9d5dcab5,capricious-ox-929,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,3.0,1.0,[ 5.5   5.5   3.5   3.    9.5  22.5   4.    0.55  1.    0.55],0.9709,31.329645497939524,0.9616,0.0467,0.1746,0.027,94,5,3297,1
2024-07-23 16:21:14,79ms,4f54e76dfac14846a3946ac11905438a,tasteful-boar-108,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.5,1.0,[ 5.5   5.5   3.5   3.    9.5  22.5   4.    0.55  1.    0.55],0.965,35.93513564608549,0.9554,0.0404,0.1746,0.0229,114,5,3277,1
2024-07-23 16:21:14,73ms,c32d41ee37994fcf8754a867edb4a60a,serious-vole-593,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.0,1.0,[ 5.5   5.5   3.5   3.    9.5  22.5   4.    0.55  1.    0.55],0.9567,41.62532124134674,0.9472,0.0648,0.3398,0.0358,143,4,3248,2
2024-07-23 16:21:14,30ms,9146ac06262a4203a7394c29a7c56671,bright-hound-799,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,,,,,,,,,,,,,,
2024-07-23 16:21:14,39ms,aab5b74cf98140aeabeba45712fcaf72,sedate-sloth-701,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,,,,,,,,,,,,,,
2024-07-23 16:21:14,43ms,3a4f3696223f4b179b90c9d88c24c5f3,nosy-vole-444,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,,,,,,,,,,,,,,
2024-07-23 16:21:14,110ms,e744125a97974bd1935830d4b6a9e870,upbeat-rook-525,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,3.0,2.5,[ 4.5   4.5   2.5   2.    7.5  17.5   3.    0.45  0.8   0.45],0.9608,42.300041851458055,0.9356,0.2081,0.1838,0.2397,84,49,3253,11
2024-07-23 16:21:14,81ms,1c212113965a4d7ebd366bb5ed4d24a4,popular-sow-859,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.5,2.5,[ 4.5   4.5   2.5   2.    7.5  17.5   3.    0.45  0.8   0.45],0.9555,44.854140437283796,0.9308,0.2096,0.1993,0.2209,103,48,3234,12
2024-07-23 16:21:14,79ms,b983d998b4a14fc487a35ef48a416df8,exultant-mare-614,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.0,2.5,[ 4.5   4.5   2.5   2.    7.5  17.5   3.    0.45  0.8   0.45],0.9485,47.344058319763136,0.9255,0.2367,0.2511,0.2239,130,45,3207,15
2024-07-23 16:21:14,77ms,6574226cca7241b99a1ae79277fe1b6c,selective-hog-732,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,3.0,2.0,[ 4.5   4.5   2.5   2.    7.5  17.5   3.    0.45  0.8   0.45],0.9653,35.88768718651953,0.9453,0.1749,0.1872,0.1642,88,30,3272,7
2024-07-23 16:21:14,85ms,7afb29ed82cc4112aae8dceb09f891a4,rogue-wolf-460,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.5,2.0,[ 4.5   4.5   2.5   2.    7.5  17.5   3.    0.45  0.8   0.45],0.96,38.44178577234527,0.9405,0.1796,0.2102,0.1568,107,29,3253,8
2024-07-23 16:21:13,83ms,b53e075c2cd74fe7b6e49ffacde6e18a,valuable-newt-929,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.0,2.0,[ 4.5   4.5   2.5   2.    7.5  17.5   3.    0.45  0.8   0.45],0.9523,41.8362430732963,0.9339,0.199,0.2654,0.1593,135,27,3225,10
2024-07-23 16:21:13,78ms,24d54b4adddf4803b40f441d23730cac,smiling-carp-722,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,3.0,1.5,[ 4.5   4.5   2.5   2.    7.5  17.5   3.    0.45  0.8   0.45],0.9676,31.80917730104217,0.9512,0.0411,0.067,0.0296,94,16,3286,1
2024-07-23 16:21:13,73ms,7333c49873cc469a90342a572a465ebf,tasteful-dog-452,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.5,1.5,[ 4.5   4.5   2.5   2.    7.5  17.5   3.    0.45  0.8   0.45],0.9617,35.342591847393706,0.945,0.0366,0.067,0.0252,114,16,3266,1
2024-07-23 16:21:13,71ms,dc1ef1d92977477988bebea34e935d23,salty-rook-431,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.0,1.5,[ 4.5   4.5   2.5   2.    7.5  17.5   3.    0.45  0.8   0.45],0.9535,39.74808959844177,0.9368,0.0603,0.1297,0.0392,143,15,3237,2
2024-07-23 16:21:13,27ms,78f4356408cb4db3a0cbfc038cef84fa,whimsical-shoat-976,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,,,,,,,,,,,,,,
2024-07-23 16:21:13,30ms,d5acd51dd2c5453d8b4bfb6e482d2203,colorful-colt-715,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,,,,,,,,,,,,,,
2024-07-23 16:21:13,32ms,8527001288d14829aebb7789bbe340d7,resilient-flea-853,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,,,,,,,,,,,,,,
2024-07-23 16:21:13,34ms,21d398b00b0f44e7a4654ce02156c886,grandiose-mole-352,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,,,,,,,,,,,,,,
2024-07-23 16:21:13,33ms,e212b23ce4c448968c8573967dc448fd,likeable-skunk-633,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,,,,,,,,,,,,,,
2024-07-23 16:21:13,37ms,a6c754666a6b4a70add3f697174cf749,fearless-hawk-413,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,,,,,,,,,,,,,,
2024-07-23 16:21:13,94ms,21c158b3cd804751a820f59bbef301d5,skittish-wren-785,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,3.0,2.5,[ 6.5  6.5  4.5  4.  11.5 27.5  5.   0.6  1.2  0.6],0.9335,108.23918123033106,0.8956,0.2345,0.1567,0.4659,66,160,3142,29
2024-07-23 16:21:13,89ms,edaa7966e31e4385a3d462ab0672777c,masked-worm-747,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Cu (ppm) Mg (%) CCPI Ishikawa Na/Al,2.5,2.5,[ 6.5  6.5  4.5  4.  11.5 27.5  5.   0.6  1.2  0.6],0.9288,111.27452981043191,0.8917,0.2405,0.168,0.4229,84,158,3124,31
