Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Elements,difference_threshold,normalization_vector,target_threshold,Accuracy,Loss,Weighted accuracy,Weighted f1,Weighted precision,Weighted recall,fn,fp,tn,tp
2024-09-02 10:48:39,73ms,a63691a5010b4e8aac24978f02fc1574,languid-lark-786,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.5,[0.75 1.5  1.5  3.   2.5  1.5 ],45.0,0.551,761.6427172211287,0.463,0.3513,0.2267,0.7798,170,1357,1488,386
2024-09-02 10:48:33,75ms,bd5c4ab7334d4592aae6bf7d26f03987,grandiose-ox-730,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.0,[1 2 2 4 3 2],45.0,0.5293,995.558239296048,0.4492,0.3475,0.2224,0.7948,156,1445,1400,400
2024-09-02 10:48:39,79ms,b11ec2aaeb604962909e1062fa2a43d6,dazzling-kite-782,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.5,[1.25 2.5  2.5  5.   3.5  2.5 ],45.0,0.5851,1078.110068497202,0.5127,0.3398,0.2259,0.6853,219,1192,1653,337
2024-09-02 10:48:36,70ms,c5deb170696642daa65a27801f31db45,colorful-panda-277,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.5,[1.25 2.5  2.5  5.   3.25 2.5 ],45.0,0.6072,1000.3345193504549,0.5374,0.3393,0.2296,0.6497,240,1096,1749,316
2024-09-02 10:48:39,68ms,2bb9fcbc561d47ba8cb3672507ea5cb8,receptive-tern-479,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.0,[0.75 1.5  1.5  3.   2.5  1.5 ],45.0,0.683,569.0261795542765,0.6071,0.3368,0.2458,0.5351,312,766,2079,244
2024-09-02 10:48:38,71ms,199c917e418549b89e06774eddd3a3a0,carefree-tern-5,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.0,[1.75 3.5  3.5  7.   3.75 3.5 ],45.0,0.7348,888.0465969213001,0.6881,0.3355,0.2723,0.4369,354,548,2297,202
2024-09-02 10:48:33,77ms,a571a781787343618f7c3282861b9e7f,bemused-goat-388,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.5,[1 2 2 4 3 2],45.0,0.3731,1224.1934529228536,0.3048,0.3319,0.2017,0.9356,61,2071,774,495
2024-09-02 10:48:35,68ms,95539e7bfb524dc3a9a550149545b068,salty-stork-781,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.5,[1.5 3.  3.  6.  3.5 3. ],45.0,0.4925,1389.1889822126627,0.4251,0.3313,0.2099,0.7852,156,1570,1275,400
2024-09-02 10:48:39,72ms,1e6c6f95142445de82cdaf8625809e1d,bouncy-mole-57,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.0,[1.25 2.5  2.5  5.   3.5  2.5 ],45.0,0.3802,1460.2586073030614,0.3143,0.331,0.2015,0.927,65,2043,802,491
2024-09-02 10:48:37,70ms,047bce5733f24b1092c0d9764b86f603,fearless-perch-361,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.0,[1.25 2.5  2.5  5.   3.25 2.5 ],45.0,0.3869,1410.7860593412724,0.321,0.3297,0.2012,0.9137,74,2011,834,482
2024-09-02 10:48:33,70ms,1bb9ba3602a942759b05202ac87706f3,selective-roo-365,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.5,[1 2 2 4 3 2],45.0,0.7124,655.1720537063264,0.6492,0.3282,0.2538,0.4644,345,633,2212,211
2024-09-02 10:48:37,76ms,6572daf017614187925da692ca1ee07f,bemused-whale-1000,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.5,[0.5  1.   1.   2.5  2.25 1.  ],45.0,0.6998,418.8100920735533,0.6123,0.3268,0.2439,0.4952,342,679,2166,214
2024-09-02 10:48:36,81ms,0dceee2c20f24bbd81efa6d6eb63a45b,caring-flea-543,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.0,[2 4 4 8 4 4],45.0,0.663,1203.8053701543176,0.6102,0.3245,0.2353,0.5226,306,840,2005,250
2024-09-02 10:48:36,76ms,8207be18e8d141218957e0eb01861c7b,skittish-lynx-525,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.5,[2 4 4 8 4 4],45.0,0.3367,2066.0512928025105,0.2842,0.3203,0.193,0.9411,50,2206,639,506
2024-09-02 10:48:38,72ms,b43d11b1400849a798858a79bcde1f91,enchanting-carp-992,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),1.5,[1.75 3.5  3.5  7.   3.75 3.5 ],45.0,0.3887,1777.639494118193,0.329,0.3201,0.1958,0.8766,95,1984,861,461
2024-09-02 10:48:34,67ms,fb6bf1468a8047879dcdf411b674d91c,serious-wren-552,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.5,[0.5 1.  1.  2.  2.5 1. ],45.0,0.6954,424.9449729206307,0.6065,0.3198,0.2378,0.4879,345,691,2154,211
2024-09-02 10:48:35,72ms,31d9cb1ecd894e59af2cde7d16852d59,debonair-vole-472,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.0,[1.5 3.  3.  6.  3.5 3. ],45.0,0.3073,1740.4734291347102,0.2554,0.3183,0.1908,0.9583,40,2316,529,516
2024-09-02 10:48:37,69ms,463339cf0cc34ff3a6123181d0ba41a2,delightful-croc-52,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.5,[1.25 2.5  2.5  5.   3.25 2.5 ],45.0,0.284,1562.2840852957725,0.2351,0.3174,0.1897,0.9729,30,2405,440,526
2024-09-02 10:48:39,76ms,76e4b564bbd34e30b9cdfa3946a2efc1,adventurous-fawn-551,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.5,[1.25 2.5  2.5  5.   3.5  2.5 ],45.0,0.2802,1607.9229935212234,0.2319,0.3171,0.1894,0.9745,29,2419,426,527
2024-09-02 10:48:35,73ms,0e2c8335a1b6432f8c25f61b83b59b48,bustling-shoat-465,LOCAL,/opt/anaconda3/envs/python312/lib/python3.12/site-packages/ipykernel_launcher.py,zeerakwyne,FINISHED,Fe (%) Ca (%) Na (%) K (%) Al (%) Mg (%),2.5,[1.5 3.  3.  6.  3.5 3. ],45.0,0.2655,1803.7295032400177,0.2227,0.3143,0.1871,0.9824,21,2477,368,535
